Anomaly_Type,Description_Norm,Counterparty_Core,Rule_ID,Txn_Count,Total_Amount,Avg_Amount,First_YearMonth,Last_YearMonth,Months_Span,Unique_Months,Recurrence_Pattern,Bank_Rail_Breakdown,Suggested_Category
DISCRETIONARY,PAYNOW-FAST J WONG MBK2507026643658353,PAYNOW-FAST J WONG MBK2507026643658353,R15_GENERIC_OUTFLOW,1,-242.79,-242.79,2025-07,2025-07,1,1,ONE_OFF,FAST:$242,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST SOON SENG TRANSPORT MBK2403211869639312,PAYNOW-FAST SOON SENG TRANSPORT MBK2403211869639312,R15_GENERIC_OUTFLOW,1,-200.0,-200.0,2024-03,2024-03,1,1,ONE_OFF,FAST:$200,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2211067870187728 SIOW WEI JIE OTHR TRANSFER - MOBILE,PAYNOW-FAST PIB2211067870187728 SIOW WEI JIE OTHR TRANSFER - MOBILE,R15_GENERIC_OUTFLOW,1,-188.0,-188.0,2022-11,2022-11,1,1,ONE_OFF,FAST:$188,POSSIBLE_TRANSFER
DISCRETIONARY,MISC DEBIT DHOF123153822301 UOI FIRE POLICY,MISC DEBIT DHOF123153822301 UOI FIRE POLICY,R15_GENERIC_OUTFLOW,1,-187.63,-187.63,2024-11,2024-11,1,1,ONE_OFF,OTHER:$187,
DISCRETIONARY,MISC DEBIT DHOF123153822302 UOI FIRE POLICY,MISC DEBIT DHOF123153822302 UOI FIRE POLICY,R15_GENERIC_OUTFLOW,1,-187.63,-187.63,2025-11,2025-11,1,1,ONE_OFF,OTHER:$187,
DISCRETIONARY,MISC DEBIT DHOF123153822300 UOI FIRE POLICY,MISC DEBIT DHOF123153822300 UOI FIRE POLICY,R15_GENERIC_OUTFLOW,1,-185.91,-185.91,2023-12,2023-12,1,1,ONE_OFF,OTHER:$185,
DISCRETIONARY,PAYNOW-FAST CKK MANAGEMENT PTE MBK2404122084604809,PAYNOW-FAST CKK MANAGEMENT PTE MBK2404122084604809,R15_GENERIC_OUTFLOW,1,-185.3,-185.3,2024-04,2024-04,1,1,ONE_OFF,FAST:$185,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2308149910214485 A LIGHTZ SHOP LLP OTHR TRANSFER - UEN,PAYNOW-FAST PIB2308149910214485 A LIGHTZ SHOP LLP OTHR TRANSFER - UEN,R15_GENERIC_OUTFLOW,1,-177.0,-177.0,2023-08,2023-08,1,1,ONE_OFF,FAST:$177,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST MIELE PTE LTD MBK2403211869375206,PAYNOW-FAST MIELE PTE LTD MBK2403211869375206,R15_GENERIC_OUTFLOW,1,-167.0,-167.0,2024-03,2024-03,1,1,ONE_OFF,FAST:$167,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST CKK MANAGEMENT PTE MBK2403221879894623,PAYNOW-FAST CKK MANAGEMENT PTE MBK2403221879894623,R15_GENERIC_OUTFLOW,1,-163.5,-163.5,2024-03,2024-03,1,1,ONE_OFF,FAST:$163,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2308239973935306 RHT VALUATION PTE. L OTHR 7295198,PAYNOW-FAST PIB2308239973935306 RHT VALUATION PTE. L OTHR 7295198,R15_GENERIC_OUTFLOW,1,-162.0,-162.0,2023-08,2023-08,1,1,ONE_OFF,FAST:$162,POSSIBLE_TRANSFER
OTHER_INCOME,INWARD CR - GIRO OTHR OTHER INTEGRATED HEALTH PL SGGP210330045612,INWARD CR - GIRO OTHR OTHER INTEGRATED HEALTH PL SGGP210330045612,R14_OTHER_INCOME,1,160.0,160.0,2021-03,2021-03,1,1,ONE_OFF,GIRO:$160,
DISCRETIONARY,PAYNOW-FAST PIB2404182135889594 REPAIRS PTE. LTD. OTHR INV20363,PAYNOW-FAST PIB2404182135889594 REPAIRS PTE. LTD. OTHR INV20363,R15_GENERIC_OUTFLOW,1,-160.0,-160.0,2024-04,2024-04,1,1,ONE_OFF,FAST:$160,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST MITSUBISHI ELECTRIC MBK2209237608890360,PAYNOW-FAST MITSUBISHI ELECTRIC MBK2209237608890360,R15_GENERIC_OUTFLOW,1,-156.0,-156.0,2022-09,2022-09,1,1,ONE_OFF,FAST:$156,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2506126424876117 ALAN LIM OTHR TRANSFER - MOBILE,PAYNOW-FAST PIB2506126424876117 ALAN LIM OTHR TRANSFER - MOBILE,R15_GENERIC_OUTFLOW,1,-150.0,-150.0,2025-06,2025-06,1,1,ONE_OFF,FAST:$150,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2301148335238896 YILIN OTHR TRANSFER - MOBILE,PAYNOW-FAST PIB2301148335238896 YILIN OTHR TRANSFER - MOBILE,R15_GENERIC_OUTFLOW,1,-149.6,-149.6,2023-01,2023-01,1,1,ONE_OFF,FAST:$149,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2402041450306503 CH OTHR TRANSFER - MOBILE,PAYNOW-FAST PIB2402041450306503 CH OTHR TRANSFER - MOBILE,R15_GENERIC_OUTFLOW,1,-147.3,-147.3,2024-02,2024-02,1,1,ONE_OFF,FAST:$147,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST CKK MANAGEMENT PTE MBK2507146779300142,PAYNOW-FAST CKK MANAGEMENT PTE MBK2507146779300142,R15_GENERIC_OUTFLOW,1,-147.1,-147.1,2025-07,2025-07,1,1,ONE_OFF,FAST:$147,POSSIBLE_TRANSFER
DISCRETIONARY,FUNDS TRF - FAST PIB2504015617355136 TRUST CASHBACK OTHR TRANSFER,FUNDS TRF - FAST PIB2504015617355136 TRUST CASHBACK OTHR TRANSFER,R15_GENERIC_OUTFLOW,1,-144.08,-144.08,2025-04,2025-04,1,1,ONE_OFF,FAST:$144,INCOME/CASHBACK
DISCRETIONARY,PAYNOW-FAST PIB2401041151914685 JAYKEN FOO OTHR TRANSFER - MOBILE,PAYNOW-FAST PIB2401041151914685 JAYKEN FOO OTHR TRANSFER - MOBILE,R15_GENERIC_OUTFLOW,1,-128.4,-128.4,2024-01,2024-01,1,1,ONE_OFF,FAST:$128,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2401111210675291 XTRA DESIGNS PTE LTD OTHR XD-RETAIL,PAYNOW-FAST PIB2401111210675291 XTRA DESIGNS PTE LTD OTHR XD-RETAIL,R15_GENERIC_OUTFLOW,1,-120.0,-120.0,2024-01,2024-01,1,1,ONE_OFF,FAST:$120,POSSIBLE_TRANSFER
DISCRETIONARY,BILL PAYMENT MBK-SINGTEL 35044279,BILL PAYMENT MBK-SINGTEL 35044279,R15_GENERIC_OUTFLOW,2,-115.14,-57.57,2021-01,2021-02,2,2,SPORADIC,CARD:$115,UTILITIES/TELECOM
DISCRETIONARY,PAYNOW-FAST PIB2405292525917904 JY OTHR TRANSFER - MOBILE,PAYNOW-FAST PIB2405292525917904 JY OTHR TRANSFER - MOBILE,R15_GENERIC_OUTFLOW,1,-112.0,-112.0,2024-05,2024-05,1,1,ONE_OFF,FAST:$112,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2509257620295862 TOTAL CLEANZ PTE. LT OTHR SI-2322238,PAYNOW-FAST PIB2509257620295862 TOTAL CLEANZ PTE. LT OTHR SI-2322238,R15_GENERIC_OUTFLOW,1,-109.0,-109.0,2025-09,2025-09,1,1,ONE_OFF,FAST:$109,POSSIBLE_TRANSFER
OTHER_INCOME,INWARD CR - GIRO OTHR OTHER INTEGRATED HEALTH PL SGGP220223086595,INWARD CR - GIRO OTHR OTHER INTEGRATED HEALTH PL SGGP220223086595,R14_OTHER_INCOME,1,107.0,107.0,2022-02,2022-02,1,1,ONE_OFF,GIRO:$107,
DISCRETIONARY,PAYNOW-FAST CKK MANAGEMENT PTE MBK2303278821702971,PAYNOW-FAST CKK MANAGEMENT PTE MBK2303278821702971,R15_GENERIC_OUTFLOW,1,-102.6,-102.6,2023-03,2023-03,1,1,ONE_OFF,FAST:$102,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST CKK MANAGEMENT PTE MBK2309190199532224,PAYNOW-FAST CKK MANAGEMENT PTE MBK2309190199532224,R15_GENERIC_OUTFLOW,1,-102.6,-102.6,2023-09,2023-09,1,1,ONE_OFF,FAST:$102,POSSIBLE_TRANSFER
DISCRETIONARY,FUNDS TRF - FAST PIB2401121222761589 0137369831 OTHR TRANSFER,FUNDS TRF - FAST PIB2401121222761589 0137369831 OTHR TRANSFER,R15_GENERIC_OUTFLOW,1,-100.0,-100.0,2024-01,2024-01,1,1,ONE_OFF,FAST:$100,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST CKK MANAGEMENT PTE MBK2407022854691391,PAYNOW-FAST CKK MANAGEMENT PTE MBK2407022854691391,R15_GENERIC_OUTFLOW,1,-98.1,-98.1,2024-07,2024-07,1,1,ONE_OFF,FAST:$98,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2410163896811874 CKS PROPERTY CONSULT OTHR 7663023 TEMBUSU GRAND ,PAYNOW-FAST PIB2410163896811874 CKS PROPERTY CONSULT OTHR 7663023 TEMBUSU GRAND ,R15_GENERIC_OUTFLOW,1,-87.2,-87.2,2024-10,2024-10,1,1,ONE_OFF,FAST:$87,POSSIBLE_TRANSFER
OTHER_INCOME,PAYNOW-FAST PAYNOW OTHR MA SICONG OTHR,PAYNOW-FAST PAYNOW OTHR MA SICONG OTHR,R14_OTHER_INCOME,2,85.0,42.5,2023-10,2024-02,5,2,SPORADIC,FAST:$85,
DISCRETIONARY,PAYNOW-FAST PIB2310110392237943 JY OTHR TRANSFER - MOBILE,PAYNOW-FAST PIB2310110392237943 JY OTHR TRANSFER - MOBILE,R15_GENERIC_OUTFLOW,1,-84.7,-84.7,2023-10,2023-10,1,1,ONE_OFF,FAST:$84,POSSIBLE_TRANSFER
DISCRETIONARY,CASH WITHDRAWAL-SATM OCBC155732 79608204,CASH WITHDRAWAL-SATM OCBC155732 79608204,R15_GENERIC_OUTFLOW,1,-80.0,-80.0,2022-07,2022-07,1,1,ONE_OFF,ATM:$80,
DISCRETIONARY,CASH WITHDRAWAL-SATM OCBC173035 79608204,CASH WITHDRAWAL-SATM OCBC173035 79608204,R15_GENERIC_OUTFLOW,1,-80.0,-80.0,2021-06,2021-06,1,1,ONE_OFF,ATM:$80,
DISCRETIONARY,PAYNOW-FAST PIB2410173904357482 K&K SOLID WOOD DOORS OTHR INV-17514,PAYNOW-FAST PIB2410173904357482 K&K SOLID WOOD DOORS OTHR INV-17514,R15_GENERIC_OUTFLOW,1,-70.85,-70.85,2024-10,2024-10,1,1,ONE_OFF,FAST:$70,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2501174850620083 POSTER HUB OTHR 201411282EDBSI78823282399,PAYNOW-FAST PIB2501174850620083 POSTER HUB OTHR 201411282EDBSI78823282399,R15_GENERIC_OUTFLOW,1,-65.47,-65.47,2025-01,2025-01,1,1,ONE_OFF,FAST:$65,POSSIBLE_TRANSFER
OTHER_INCOME,"INWARD CREDIT-FAST PAYNOW OTHR ZHANG, KEXIN PAYNOW TRANSFER","INWARD CREDIT-FAST PAYNOW OTHR ZHANG, KEXIN PAYNOW TRANSFER",R14_OTHER_INCOME,2,61.0,30.5,2022-04,2022-04,1,1,SPORADIC,FAST:$61,
DISCRETIONARY,NETS DEBIT-CONSUMER TRANSIT LI10565000 79608204,NETS DEBIT-CONSUMER TRANSIT LI10565000 79608204,R15_GENERIC_OUTFLOW,1,-60.0,-60.0,2021-06,2021-06,1,1,ONE_OFF,NETS:$60,
DISCRETIONARY,NETS DEBIT-CONSUMER TRANSITLIN15049400 79608204,NETS DEBIT-CONSUMER TRANSITLIN15049400 79608204,R15_GENERIC_OUTFLOW,1,-60.0,-60.0,2021-01,2021-01,1,1,ONE_OFF,NETS:$60,
DISCRETIONARY,PAYNOW-FAST IMMIGRATION & CHECK MBK2401111213884244,PAYNOW-FAST IMMIGRATION & CHECK MBK2401111213884244,R15_GENERIC_OUTFLOW,1,-60.0,-60.0,2024-01,2024-01,1,1,ONE_OFF,FAST:$60,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2510197900864163 CM OTHR TRANSFER - MOBILE,PAYNOW-FAST PIB2510197900864163 CM OTHR TRANSFER - MOBILE,R15_GENERIC_OUTFLOW,1,-59.95,-59.95,2025-10,2025-10,1,1,ONE_OFF,FAST:$59,POSSIBLE_TRANSFER
OTHER_INCOME,PAYNOW-FAST PAYNOW OTHR VISVANATHAN RAJESH PAYNOW TRANSFER,PAYNOW-FAST PAYNOW OTHR VISVANATHAN RAJESH PAYNOW TRANSFER,R14_OTHER_INCOME,2,53.0,26.5,2023-02,2023-11,10,2,ONE_OFF,FAST:$53,
DISCRETIONARY,PAYNOW-FAST PIB2312040865893198 LIGHTS AND BATHROOM OTHR SO-23-32269T,PAYNOW-FAST PIB2312040865893198 LIGHTS AND BATHROOM OTHR SO-23-32269T,R15_GENERIC_OUTFLOW,1,-52.48,-52.48,2023-12,2023-12,1,1,ONE_OFF,FAST:$52,POSSIBLE_TRANSFER
DISCRETIONARY,CASH WITHDRAWAL-SATM OCBC125735 79608204,CASH WITHDRAWAL-SATM OCBC125735 79608204,R15_GENERIC_OUTFLOW,1,-50.0,-50.0,2022-08,2022-08,1,1,ONE_OFF,ATM:$50,
DISCRETIONARY,NETS DEBIT-CONSUMER SMRT - BGS08075000 79608204,NETS DEBIT-CONSUMER SMRT - BGS08075000 79608204,R15_GENERIC_OUTFLOW,1,-50.0,-50.0,2021-02,2021-02,1,1,ONE_OFF,NETS:$50,
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000014339719,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000014339719,R15_GENERIC_OUTFLOW,1,-49.1,-49.1,2023-08,2023-08,1,1,ONE_OFF,GIRO:$49,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000015339733,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000015339733,R15_GENERIC_OUTFLOW,1,-49.1,-49.1,2023-09,2023-09,1,1,ONE_OFF,GIRO:$49,HOUSING/TOWN_COUNCIL_FEES
OTHER_INCOME,PAYNOW-FAST PAYNOW OTHR LIN NAN,PAYNOW-FAST PAYNOW OTHR LIN NAN,R14_OTHER_INCOME,1,48.0,48.0,2024-02,2024-02,1,1,ONE_OFF,FAST:$48,
OTHER_INCOME,PAYNOW-FAST PAYNOW OTHR LI LIANG OTHR,PAYNOW-FAST PAYNOW OTHR LI LIANG OTHR,R14_OTHER_INCOME,1,47.6,47.6,2024-02,2024-02,1,1,ONE_OFF,FAST:$47,
OTHER_INCOME,"PAYNOW-FAST PAYNOW OTHR SEOW WEIQIANG, JEROM GPAY-","PAYNOW-FAST PAYNOW OTHR SEOW WEIQIANG, JEROM GPAY-",R14_OTHER_INCOME,1,47.27,47.27,2022-09,2022-09,1,1,ONE_OFF,FAST:$47,
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000000740278,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000000740278,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2020-12,2020-12,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000001140327,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000001140327,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2021-02,2021-02,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000001340313,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000001340313,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2021-03,2021-03,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000001740262,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000001740262,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2021-05,2021-05,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000001940257,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000001940257,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2021-06,2021-06,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000002340231,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000002340231,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2021-08,2021-08,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000002540218,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000002540218,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2021-09,2021-09,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000002940150,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000002940150,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2021-11,2021-11,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000003140181,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000003140181,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2021-12,2021-12,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000003540121,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000003540121,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2022-02,2022-02,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
DISCRETIONARY,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000003740084,INWARD DR - GIRO TCSC C91528519610 WESTCOASTTOWNCOUNCIL WA-GDED-0000003740084,R15_GENERIC_OUTFLOW,1,-46.0,-46.0,2022-03,2022-03,1,1,ONE_OFF,GIRO:$46,HOUSING/TOWN_COUNCIL_FEES
